SPECIES;SUH2;SUG1;SUH4;SUG3;SUG4;SVH2;SVG1;SVG2;SVF1;SVJ3;SVJ4;SVH3;SVH4;SVG3;SVG4;SWJ2;SWH1;SWH2;SWG1;SWG2;SWF1;SWJ4;SWH3;SWH4;SWG3;SWG4;SWF3;SXH1;SXH2;SXG1;SXG2;SXH3;SXH4;SXG3
Common tern;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
Corn crake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Curlew sandpiper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dalmatian pelican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Demoiselle crane;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dunlin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eastern imperial eagle;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Egyptian vulture;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;0;0
Euraasian penduline tit;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;1;0;0;0
Eurasian bittern;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Eurasian coot;0;0;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;1;1;1;0;0;1;1;1;0;0;0;1;1;1;0;0;0
Eurasian crag martin;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0
Eurasian dotterel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eurasian hobby;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0
Eurasian oystercatcher;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Eurasian reed warbler;0;0;1;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0
Eurasian skylark;1;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;1;0;0;1;0
Eurasian spoonbill;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Eurasian teal;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Eurasian thick-knee;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0
Eurasian wigeon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
European bee-eater;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0
